"x"
"Moxostoma sp. Brassy Jumprock"
"Etheostoma collis"
"Etheostoma brevispinum"
"Cyprinella labrosa"
"Fundulus chrysotus"
"Etheostoma thalassinum"
"Notropis chlorocephalus"
"Cyprinella zanema"
"Luxilus coccogenis"
"Cyprinella pyrrhomelas"
"Etheostoma microperca"
"Etheostoma lawrencei"
"Etheostoma fricksium"
"Etheostoma parvipinne"
"Etheostoma punctulatum"
"Erimystax harryi"
"Noturus albater"
"Neogobius melanostomus"
"Notropis sp. Piedmont Shiner"
"Notropis blennius"
"Chrosomus cumberlandensis"
"Ichthyomyzon fossor"
"Moxostoma valenciennesi"
"Percina shumardi"
"Hiodon alosoides"
"Notropis ammophilus"
"Etheostoma proeliare"
"Noturus gladiator"
"Hybognathus hayi"
"Ctenopharyngodon idella"
"Etheostoma asprigene"
"Hypophthalmichthys molitrix"
"Cottus sp. Clinch Sculpin"
"Notropis anogenus"
"Oncorhynchus aguabonita"
"Lepomis symmetricus"
"Poecilia latipinna"
"Noturus lachneri"
"Lythrurus roseipinnis"
"Fundulus dispar"
"Ammocrypta vivax"
"Fundulus grandis"
"Menidia audens"
"Cyprinella gibbsi"
"Etheostoma tallapoosae"
"Hybopsis lineapunctata"
"Lythrurus bellus"
"Percina smithvanizi"
"Notropis asperifrons"
"Poeciliopsis occidentalis"
"Hybognathus argyritis"
"Gila pandora"
"Lavinia exilicauda"
"Gila orcuttii"
"Catostomus santaanae"
"Catostomus plebeius"
"Gila nigrescens"
"Hybognathus amarus"
"Notropis rafinesquei"
"Notropis baileyi"
"Etheostoma bellator"
"Etheostoma douglasi"
"Etheostoma lachneri"
"Etheostoma rupestre"
"Ammocrypta beanii"
"Erimystax dissimilis"
"Etheostoma collettei"
"Notropis shumardi"
"Etheostoma planasaxatile"
"Etheostoma nigripinne"
"Etheostoma rufilineatum"
"Etheostoma cervus"
"Etheostoma kennicotti"
"Etheostoma tennesseense"
"Ichthyomyzon greeleyi"
"Notropis spectrunculus"
"Etheostoma jessiae"
"Notropis leuciodus"
"Chrosomus tennesseensis"
"Cottus baileyi"
"Cottus sp. Holston Sculpin"
"Etheostoma simoterum"
"Catostomus fumeiventris"
"Siphateles bicolor"
"Ictiobus niger"
"Etheostoma chuckwachatte"
"Etheostoma ditrema"
"Catostomus tahoensis"
"Richardsonius egregius"
"Salvelinus confluentus"
"Cottus confusus"
"Cottus rhotheus"
"Catostomus macrocheilus"
"Cottus perplexus"
"Ptychocheilus oregonensis"
